Sex,FI,Hearing_loss,Vision_loss,Forelimb_grip_Strength,Fur_Color_Loss,Vestibular_disturbance,Weight
1,0.0018018883415435141,0.0005,0.000125,0.0,0.0,0.003333333333333333,21.34575194444445
1,0.09820004984752487,0.5002083333333334,0.7224339285714287,0.5134666666666666,0.5073444444444445,0.27229940476190473,28.628469166666424
0,0.12146141746013936,0.8199035173160181,0.501175,0.9699416666666667,0.4911666666666667,0.330630284992785,28.121633668831155
1,0.06734529160802219,0.3474065476190474,0.507325,0.8134636904761906,0.4980833333333333,0.49629166666666663,26.501204761904763
1,0.010272105911330119,0.008491666666666666,0.018616666666666667,0.011649999999999997,0.006,0.04488333333333333,21.24892261904761
0,0.04891690270935911,0.004517857142857142,0.44785833333333336,0.24868869047619044,0.021198809523809526,0.482147619047619,29.3828088095237
1,0.1848932911095471,0.9698041666666668,0.1857970238095236,0.3518970238095234,0.6842107142857133,0.1720101190476188,29.755634523809547
0,0.12785524938423742,0.5495982142857143,0.7867011904761906,0.8556797619047619,0.5232964285714286,0.44542202380952395,28.481660555555557
1,0.19008251915708888,0.7908214285714278,0.786099999999999,0.6445916666666673,0.48639047619047615,0.18279523809523784,25.23838142857145
1,0.158321451051685,0.8188051587301598,0.33733015873015865,0.6463484126984124,0.8284968253968262,0.31159761904761896,30.262741428571402
1,0.021648681239737542,0.44287499999999996,0.017974999999999998,0.011091666666666665,0.028785714285714286,0.031042857142857146,26.407843809523637
1,0.01629935002736734,0.007545634920634921,0.00016666666666666666,0.0016666666666666668,0.000125,0.02159404761904762,21.315427380952272
1,0.06519296416842643,0.7943928571428573,0.5015337301587303,0.4965440476190477,0.14547499999999997,0.12672619047619046,29.917004880952664
1,0.17333656755805563,0.4859166666666666,0.4898916666666667,0.48993809523809523,0.6557660714285709,0.4871666666666667,24.561490595238148
0,0.19549054216514306,0.5009999999999999,0.9603916666666665,0.9397416666666666,0.9311083333333334,0.4740505952380951,30.384256904761912
0,0.04455047794980049,0.035155952380952385,0.004266666666666667,0.451525,0.07759999999999999,0.034503571428571425,29.192709523809494
0,0.06697687807881791,0.2572559523809524,0.05762738095238096,0.025516666666666667,0.4689333333333333,0.25627261904761905,29.733502023809674
1,0.07222062392485705,0.7938831349206351,0.19053591269841252,0.4818,0.026675,0.4902821428571429,25.629964047619115
0,0.1341243886347643,0.6927309523809524,0.7087982142857144,0.923375,0.48556666666666665,0.48229047619047627,30.262462261904755
0,0.008262841602158105,0.025653571428571432,0.02656666666666666,0.030441666666666662,0.02705833333333333,0.03478333333333334,29.068231428571536
0,0.04772119937055261,0.16576468253968235,0.3378019841269843,0.1667579365079363,0.011066666666666666,0.48595,29.532077301587385
1,0.04126971469622354,0.17086369047619016,0.015609523809523811,0.33226845238095226,0.483125,0.18300535714285687,24.52292924603178
1,0.09319387950582537,0.7352035714285716,0.656527380952381,0.4721250000000002,0.10069226190476192,0.09089166666666665,26.60581238095215
0,0.08594866437954457,0.22527738095238098,0.4758166666666667,0.9143178571428572,0.5100833333333333,0.4831690476190476,32.478868571428485
1,0.05215365915044168,0.0009416666666666666,0.16911150793650762,0.16556765873015858,0.003166666666666667,0.32269583333333346,26.877864999999893
0,0.04455047794980049,0.035155952380952385,0.004266666666666667,0.451525,0.07759999999999999,0.034503571428571425,29.192709523809494
0,0.014811042692939251,0.06993392857142856,0.028630952380952385,0.030348611111111118,0.054450000000000005,0.032925,26.38381142857169
1,0.006793219759168054,0.0036416666666666667,0.0026416666666666667,0.003958333333333334,0.00525,0.0009,21.988050992063407
1,0.0031927271483305946,0.01,0.0021666666666666666,0.004791666666666667,0.019841666666666667,0.007092857142857144,21.08014857142851
0,0.03400392549261082,0.06082142857142856,0.017266666666666666,0.04172738095238096,0.04845833333333334,0.02160833333333333,25.76857654761919
1,0.0057824023574947194,0.03219166666666666,0.016858333333333333,0.043414285714285725,0.026790476190476187,0.00505,20.732392380952376
