index_x,sex,cage,mouseid,Eating,Drinking,Climbing_the_net,Curling_up,Straightening_up,Bending,Grooming,Standing,Stillness,Walking,Travel_distance,Group_of_three_mice,Rest,Rest_count,Short_sleep,Short_sleep_count,Long_sleep,Long_sleep_count,Group_of_two_mice,testage3,dietary,TestAge,Sex,Dietary,index_y,median_area,median_c,median_k,median_len,q1_area,q1_c,q1_k,q1_len,q3_area,q3_c,q3_k,q3_len,mouse_uid
248,1,D11,mouse3,7723.2,189.25,34.65,13897.6,57181.35,869.95,29.7,3376.45,338.0,1553.65,19.44,384.45,11930.2,65,13432.9,32,18161.4,17,13681.85,7,Control,7.0,1,Control,152.0,7146.33333333333,88.3333333333333,83.3333333333333,341.333333333333,6554.0,76.6666666666667,73.0,326.666666666667,7992.66666666667,100.333333333333,92.6666666666667,363.333333333333,female_D11
226,1,D04,mouse2,5175.85,156.4,56.8,18945.6,52361.25,1851.5,53.1,6687.2,863.55,1432.65,22.39,1055.05,15285.0,79,10623.4,26,15548.85,14,20310.75,7,Control,7.0,1,Control,146.0,7216.66666666667,85.0,82.3333333333333,344.666666666667,6108.66666666667,72.6666666666667,71.6666666666667,316.0,8155.66666666667,100.666666666667,94.6666666666667,368.666666666667,female_D04
1996,0,D11,mouse2,8210.4,582.3,25.25,9625.45,52250.65,5678.3,48.85,4810.1,2570.9,679.4,13.58,1650.45,16451.0,87,17854.95,45,14076.5,14,22014.6,13,Control,13.0,0,Control,454.0,8890.0,93.6666666666667,98.3333333333333,382.0,7940.0,80.3333333333333,84.3333333333333,360.0,10382.6666666667,106.333333333333,111.666666666667,413.333333333333,male_D11
2552,0,D22,mouse3,9591.85,221.95,30.3,5893.8,35418.05,2026.45,6.15,12436.45,1087.05,335.8,8.89,2376.7,18914.8,102,15846.45,40,7088.6,8,34301.05,24,Control,24.0,0,Control,920.0,9751.66666666667,93.3333333333333,106.666666666667,401.333333333333,8554.0,80.6666666666667,91.0,376.0,11219.6666666667,109.666666666667,122.0,430.0,male_D22
2129,0,D13,mouse3,6319.95,518.45,25.2,16800.2,53326.7,2057.65,13.2,1580.0,563.35,680.15,11.25,1160.1,16838.85,89,14279.0,35,17625.65,20,21160.35,16,Control,16.0,0,Control,543.0,8463.33333333333,92.6666666666667,91.3333333333333,374.0,7660.0,78.3333333333333,78.3333333333333,354.666666666667,9513.33333333333,106.0,109.666666666667,398.666666666667,male_D13
1356,0,D07,mouse1,160.3,12.1,0.1,8300.8,31921.6,3212.7,8.4,42330.1,1654.6,1432.4,22.69,645.2,20005.1,106,9657.2,26,3280.8,4,26893.0,3,Control,3.0,0,Control,30.0,5347.0,72.0,75.6666666666667,296.0,4734.0,62.3333333333333,64.6666666666667,278.0,6344.33333333333,82.0,86.6666666666667,325.333333333333,male_D07
2320,0,D17,mouse2,13924.4,792.55,149.85,6241.1,29747.65,1883.85,46.5,13917.3,572.5,848.2,16.23,1830.3,13906.05,77,7730.75,20,7252.45,7,19636.3,19,Control,19.0,0,Control,684.0,10199.6666666667,93.0,111.0,412.0,8917.0,79.6666666666667,92.3333333333333,385.333333333333,11699.6666666667,111.666666666667,126.666666666667,442.0,male_D17
1028,1,D04,mouse3,12488.25,627.6,5.05,17199.45,50924.75,664.55,2.1,2458.5,75.45,575.1,10.56,417.35,18779.2,102,17896.7,45,10044.15,11,12496.55,20,Control,20.0,1,Control,693.0,8036.0,86.6666666666667,93.3333333333333,364.0,7353.0,76.0,80.3333333333333,346.666666666667,8916.0,99.3333333333333,107.666666666667,384.0,female_D04
492,1,D22,mouse1,2092.3,45.3,48.95,14896.95,49277.9,277.0,3.9,10157.5,93.2,1293.35,19.82,2060.25,12123.2,70,9482.0,23,16369.85,15,24641.45,10,Control,10.0,1,Control,305.0,6680.33333333333,84.3333333333333,79.6666666666667,331.333333333333,6001.66666666667,73.3333333333333,69.3333333333333,313.333333333333,7558.66666666667,98.0,90.0,353.333333333333,female_D22
778,1,D04,mouse2,7348.4,551.65,12.7,13275.95,50381.6,1980.25,51.6,7765.35,413.2,861.25,16.35,572.15,16443.35,84,15336.3,37,8549.55,9,14001.8,16,Control,16.0,1,Control,510.0,7713.0,86.3333333333333,89.6666666666667,356.0,6938.0,75.3333333333333,77.0,336.666666666667,8620.66666666667,98.3333333333333,103.666666666667,377.333333333333,female_D04
871,1,D13,mouse2,10908.45,548.85,44.95,18015.35,51337.05,783.6,9.0,5306.55,306.8,892.1,17.15,3109.8,13972.15,79,13672.7,34,18270.1,18,27987.3,17,Control,17.0,1,Control,566.0,7634.66666666667,86.6666666666667,88.3333333333333,353.333333333333,6668.66666666667,75.3333333333333,76.3333333333333,330.0,8748.33333333333,98.3333333333333,103.0,380.0,female_D13
