TestAge
12
13
16
17
7
16
23
24
22
24
8
6
14
26
24
27
16
19
21
17
9
12
19
21
20
8
30
19
20
15
7
21
21
5
6
14
12
9
17
21
5
12
6
14
17
16
8
21
5
11
13
5
4
19
23
8
18
6
12
26
8
4
16
25
9
10
15
20
12
5
5
10
14
12
8
10
21
14
12
19
15
18
20
9
20
31
6
14
16
20
8
10
18
5
13
22
6
4
7
14
4
10
7
25
28
10
23
12
26
19
20
10
6
26
13
5
27
4
8
7
26
17
10
5
17
7
24
27
16
18
18
7
10
9
23
9
11
22
8
4
28
27
8
13
25
11
23
10
9
17
23
21
5
16
21
12
18
9
5
28
13
12
8
12
20
22
10
17
7
23
6
31
13
26
23
17
29
5
13
9
9
27
7
31
28
9
11
4
22
16
11
29
8
13
5
6
29
15
8
19
20
15
26
7
14
7
17
26
15
25
11
15
25
7
24
16
5
20
20
8
10
8
11
14
28
15
30
8
18
4
9
11
21
15
15
24
25
16
11
10
12
8
19
23
25
23
11
12
24
15
21
15
19
9
20
16
18
22
8
21
13
13
17
17
21
23
24
23
18
4
8
14
10
17
12
19
15
22
4
12
8
13
27
5
7
21
30
13
19
16
27
4
7
9
10
5
4
28
29
8
14
22
8
21
18
7
5
13
7
22
21
9
27
23
24
4
7
19
16
8
27
6
26
25
16
5
6
6
4
12
8
17
25
12
19
6
14
26
27
7
26
12
12
8
24
19
4
12
13
12
22
16
24
7
29
20
16
12
18
6
19
10
14
21
21
15
25
10
28
6
19
16
26
18
16
14
17
4
22
13
11
11
16
13
19
20
5
23
5
17
23
10
9
17
11
22
18
12
6
22
10
20
24
7
14
11
15
11
9
14
22
22
17
24
9
21
14
13
13
25
15
10
9
20
18
26
11
19
12
23
9
7
15
27
8
11
24
15
23
11
10
20
9
4
18
4
14
22
5
29
15
7
28
15
18
14
15
20
12
19
30
28
21
20
18
20
17
16
6
13
14
4
16
9
5
29
17
8
13
9
11
16
20
20
6
18
13
14
23
14
31
11
25
9
24
10
4
17
14
14
11
14
24
22
14
6
4
7
19
18
17
23
18
6
12
19
18
16
6
29
22
11
21
20
18
12
23
14
20
15
6
8
4
10
7
21
16
4
23
5
28
24
22
20
5
22
10
10
